name,screen_name,location,followers_count,friends_count,tweet
Raphael C.S.,RaphaelBFR11,RJ/PB/BRASIL,111,571,@andrizek Eu sei que vcs querem muito fingir que nós estamos em plena ditadura militar mas isso ai tá parecendo fre… https://t.co/L5tE8hmORM
JÉSSICA � ������ �,JessieMW_,Hogwarts,1216,663,"RT @Claytonfaber: Somos milhões de Brasileiros pedindo:
Pela moralização do STF,
Pela continuidade da Lava-jato,
Apoio ao nosso Governo.
#A…"
Thiago Caldeira,TcmCaldeira,"Brasília, DF",97,94,Custo da remuneração (7% real) garantida pelo governo ao operadores de ferrovias chegou a representar na década de… https://t.co/n83jFhkbCB
Victor Concha,cadeovictor,"Guarulhos, Brasil",578,192,"RT @FedeBurguesia: Alguém avisa essa senhora que ficou furiosa por R$ 2.80 o litro da gasolina no Governo Dilma, que agora tá R$ 4,30 com o…"
Pato Ranzinza ☭,PRanzinza,"São Paulo, Brasil",545,1085,@mamysdopedro @Juliannabatist5 @roaraz @Sabrinaportoqn @passaroAzul46 @AnnaS_Gdottir @dikaposi @MoniqueFreitasB… https://t.co/rmzJcHbqo0
Tiago Pereira,TiagoLuladaSilv,"Gramado, Brasil",6,49,"@Whackybus Eu acho bastante coerente com este governo...
Pare de drama... Não foi embora quando Alexandre Frota ent… https://t.co/xmVpppMJlj"
Luiz F Damy,lfdamy,,46,237,RT @EribertoFreiras: Nova Propaganda Oficial do Governo Federal. Foi economizado 1 milhão e meio de reais pois não foi veiculada na Rede Gl…
BetoPereira,BetoPereira19,,1139,358,RT @requiaopmdb: A demissão de Velez e Araujo descaracterizaria o governo. São únicos(assim espero) nas atitudes e formação intelectual e r…
Gatchenha Miau �,gatchenhamiau,,182,301,"RT @carloscezarcjr: A FOLHA publica algo desfavorável ao governo e na sequência sai pesquisa do DATAFOLHA endossando a matéria.

Precisamos…"
bruna,traviswestt,"Minas Gerais, Brasil",72,105,"RT @JenioQuadros: Quem diria que em 3 meses de governo o real e o maior  bolsominion arrependido seria o próprio Jair Bolsonaro

Que fase"
Mey,Meyre94674061,"Minas Gerais,Brasil ",996,2118,"RT @fernandobnusc: @jairbolsonaro Socialismo é pra quem vive a custa dos outros ou algum benefício do governo, 
Capitalismo é para aquele q…"
Fernando Eustaquio,fernandor159,"Franca, Brasil",3295,4847,"RT @rodrigo_agwebgi: Webgi  #BrasilNasRuas Domingo 7 de ABRIL

""DIREITA"" Estaremos com um pé nas RUAS e outro no GOVERNO. 
O DIA é chegado,…"
marcio t verolesi ������,mtverolesi,São Paulo,4385,5001,RT @BrazilFight: Alckmin e Ciro atacaram Bolsonaro em Harvard. Cangaciro disse que o Presidente está na iminência de uma “grande confusão”…
André Feola,FeolaAndre,"São Paulo, Brasil",6616,6989,"RT @Claytonfaber: Suspenderam a enquete então vamos fazer a nossa aqui. Respondam e compartilhem sem dó.
Qual a tua opinião sobre o Governo…"
Vivianfm,Vivianfm1,Patos De Minas ,442,954,"RT @Sandman998: processo de autodestruição de uma pessoa...
não contente em se expor como ""super-ministro"" desse governo patético após ter…"
Bruno Freire,brunofdecastro,"São Paulo, Brasil",97,255,"@filgmartin Admiro a coerência desse ""governo"": todos são medíocres"
MudaBrasil��,MudaBra11921455,,1963,2259,RT @carlosjordy: @MarceloFreixo 13 milhões de desempregados graças ao governo q você ajudou a eleger. Não é em 3 meses q se reconstrói os e…
Mateus de Abreu,Abreu_Mateus,Rio de Janeiro - RJ,1569,189,"@feltrinoficial @UOLTelevisao @UOL O governo federal não tem mesmo que sustentar emissora de televisão, tá certo."
São João da Barra News,SJBARRANEWS,São João da Barra,64,135,"Só quem passa por isso é capaz de sentir a real situação... Essa burrocracia é de uma estupidez absurda, o Brasil p… https://t.co/lOTv40OY4p"
Simpsons ussr,ussr_Simpsons,,49,73,@janembfreitas @MarceloLira_ITZ @jairbolsonaro Porque todo o Governo é composto de analfabetos funcionais que falam… https://t.co/SCw99KeWed
MICHELE LIMA,MICHELE97467630,Niterói RJ,148,155,"RT @Smith_Hays: Os policiais que neutralizaram 11 marginais em Guararema/SP serão condecorados no palácio dos Bandeirantes, sede do governo…"
Vivianfm,Vivianfm1,Patos De Minas ,442,954,"RT @randolfeap: Mais um fiasco do Governo. Mesmo abrindo o balcão de negócios, @Jairbolsonano não garante com os presidentes dos partidos q…"
Josy Santos1️⃣7️⃣ Sou Bolsonaro,jjcfsjo,Sao Paulo   [02 de outubro],4927,4895,RT @jjcfsjo: Vou nanar porque amanhã tenho que deixar a casa em ordem para ir tranquila à av Paulista em frente ao Masp cumprir com meu dev…
madalena carpa,madalenacarpa,Poa/RS,1865,2839,"RT @zeca_dirceu: Muitos reclamam dos embates, mas não dá para concordar com retrocessos. Corte no orçamento da educação é um atraso gigante…"
REINNER,REINNER18,,4,146,"Para você que está insatisfeito com o Brasil, c9m o governo BOLSONARO, pica a mula daqui, não enche o saco https://t.co/qwQR5kzAWe"
Bernardo da Cunha,bernardobr,"Porto Alegre, RS - Brazil",370,954,RT @EribertoFreiras: Nova Propaganda Oficial do Governo Federal. Foi economizado 1 milhão e meio de reais pois não foi veiculada na Rede Gl…
Jessica Spinelli �,JeeSpinelli,,7,130,"RT @eGabrielAlves: O governo Bolsonaro se parece com a arca de Noé, juntaram um monte de animais e colocaram juntos."
Anselmo Vitor,AnselmoVitor16,,22,104,"RT @jairbolsonaro: Hoje, foram arrendados mais 6 terminais portuários no Pará, superando novamente as expectativas. Total de 23 concessões…"
Marcio Penna,maucio_penna,,44,587,RT @carapanarana: Culpa do governo do socialista fabiano Maurício Macri. https://t.co/OvKJBjp6A8
Mari Scheitel Bessa,MarisBessa,sao paulo,246,787,"RT @Claytonfaber: Suspenderam a enquete então vamos fazer a nossa aqui. Respondam e compartilhem sem dó.
Qual a tua opinião sobre o Governo…"
Hokuto Shinken  ��,HokutoShinken8,,632,764,"RT @filgmartin: Tive a oportunidade de me reunir hoje com os principais líderes de movimentos conservadores, vindos de todos os estados bra…"
Leonardo Hamachi,Leo_Hamachi,Brasil,276,607,@opropriolavo Então usa os seus investimentos em vez de pedir dinheiro para seus seguidores e para o governo do Brasil.
henriques.,henriquegallon,,153,142,No governo Lula não chovia no Lollapalooza...
RΣCRUTΔ �� CΔRLΩS,recrutacarlos,Brasil,6069,5539,"RT @MariaGr06892336: @recrutacarlos Exatamente, vamos mostrar que estamos juntos e apoiamos o Nosso Presidente e seu governo. #Dia07PeloBra…"
Aliane Las ❤️�,alianelas,"Curitiba, Brasil",161,9,"RT @taliriapetrone: O governo Bolsonaro continua atacando os direitos das mulheres. O Ministério da Saúde ainda não comprou, este ano, o Mi…"
An Cafe forever ♡,RyuuShima,"São Paulo, Brasil",448,643,"Queria saber porque brasileiro tem essa mania de ""sair por cima"". Tenta tirar vantagem de tudo que é possível e imp… https://t.co/0wJKeTt7Wm"
somewhere over the rainbow �,coresdoarcoiris,,12,59,"RT @JenioQuadros: Quem diria que em 3 meses de governo o real e o maior  bolsominion arrependido seria o próprio Jair Bolsonaro

Que fase"
Antonio Moreira,Antonio00438010,,818,113,��� ⁦@ricardovelez⁩ ⁦@jairbolsonaro⁩ VAMOS DEIXAR ESTES PILANTRAS CONTINUAR DESTRUIDO O MEC? � Triste Fim da UFRJ.… https://t.co/isueE6iEum
Filipe Fernandes,f_s_fernandes,"Matosinhos, Portugal",415,341,"São altamente incompetentes, o Estado falha constantemente, há uma enorme falta de transparência e um claro nepotis… https://t.co/wLUM04dIfr"
Patrick Guaglianoni,PGuaglianoni,,407,675,"RT @cafecomferri: Parece que o governo pegou no tranco da reforma da previdência hein...

Precisamos urgente que governo indique o @Eduardo…"
conceicao,conceic74665629,,22,14,"RT @leiabooks: @BETHSIL53692821 @SF_Moro E oq falar do impeachment, água com açucar q o LeFEDORix @STF_oficial deu p DilmANTA?�  Espero que…"
Cαmєєlαஜ,camilamirass,,461,582,RT @amandafaudi: Descobrimos quais são os “assuntos de interesses nacionais” do governo. Spoiler: não tem nada a ver com emprego https://t.…
Paulo Penteado Filho,paulopen,"Salvador, Brasil",223,273,"RT @DCM_online: ‘A rede social não tumultua, quem tumultua são algumas pessoas’, diz ministro da Secretaria de Governo https://t.co/IVCKDHf…"
Luiz Antônio Takaku Nakara,LuizNakara,"Belém, Brazil",166,65,"RT @TvConservador: FALOU ISSO, CAI FORA!

Governo do Pará inicia nesta segunda-feira a deportar pessoas que acham  a Banda Calypso uma band…"
BBC News Brasil,bbcbrasil,"Londres, GB, e São Paulo, BR",2149402,883,#ArquivoBBC Há 50 anos o governo investe pesado em ações para manter a cidade livre de detritos e substâncias maléf… https://t.co/oMdKGlYKx0
Jorge AM,jorge_am_,"Canoas, Brasil",162,178,RT @VeraSilvaCamarg: Demonstrem com atitudes qual a real intenção do governo em melhorar o sistema prisional! A Susepe necessita de efetivo…
Julia �,fucklouistz,bts • sg • dl • oned • zm • gh,4687,3613,"RT @acababolso: 1366 dias para o fim do governo do 

“não nasci para ser presidente, nasci para ser militar”"
