name,screen_name,location,followers_count,friends_count,tweet
isinha,isa_souzac,to na tua,606,454,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
mariiiiiiii,mariirondow,"Vila Velha, Brasil",351,254,RT @pierobl: O Lollapalooza continua a usar moradores de rua com pagamentos pífios para erguer seus palcos https://t.co/nJzGpCMJB8
K A R O L,hesbardot,"Porto Alegre, RS",316,161,"RT @maeusouindie: Arctic Monkeys no Lollapalooza 

Eu cantando as músicas do Arctic Monkeys no seu ouvidinho - R$ 0,00

Reflita..."
Pérola Cartier,PreciosaDo_Mar,"Rio de Janeiro, Brasil",96,297,"RT @Kendraekauani: O melhor diálogo na porta do Lollapalooza: 

- quanto é a água? 

- 5 conto

- nossa, que caro. me dá um desconto? 

- n…"
Elo Amorim,mamysdopedro,São Carlos SP,539,902,RT @emirsader: VÍDEO: Show de Duda Beat no Lollapalooza tem “Fora Bolsonaro” e “Foi golpe sim” no telão https://t.co/3y3tLcZQTx via @iG
ane; me crusha crush. ☂,doyanialler,cosmos,5426,5809,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
beaarantes,beaarantes1,Bento Ribeiro,151,217,"RT @jojopancada: Hoje no Lollapalooza.
Emociona ouvir o hino brasileiro cantado a plenos pulmões. https://t.co/HpkPIXOi3b"
rodrigo,robasso_,,619,540,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
m a e l b e,maelbelira,Brasil,169,309,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
ju,battlborn,29.05.18,386,259,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
Gabriel_Mincarone,gabriel_minca,"Florianópolis, Brasil",183,469,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
Renan,renbrazz,"Rio de Janeiro, Brasil",407,230,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
Tay,reasontay,"Rio de Janeiro, Brasil",1621,872,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
emily hates herself,vsaturnx,,232,339,"RT @the1975online: Na show do Troye Sivan no Lollapalooza Brasil, os fãs começaram um coro de ""lindo, tesão, bonito e gostosão"" e ele respo…"
Chubaca,Vinimarcati,Sgo,101,55,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
A,proudlouist91,Rio de Janeiro,6141,5249,RT @milaimpact: queria estar no lollapalooza assistindo o post malone cantando congratulations que eu gosto � https://t.co/qCMJrLUcdy
"sim, meu nome é Ana Carolina",carol_almeidaac,lost,158,168,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
mazon,MazonLuca,"Araras, Brasil",152,177,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
OABaby Bertha,berthaneves,,1368,142,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
Немея ☕,HemerMiranda,"Bar, rua capuccinno n° 1983.",1912,312,"RT @iniIotrob: os cara do lollapalooza reclamando que o pastel custa 15 e a fatia de pizza 18 

irmão tu pagou praticamente um salário míni…"
Gabriela,gabresende_,,66,54,"RT @itsdudaholic: morador de rua ganhando 50 reais pra trabalhar 12 horas no lollapalooza

800 reais o ingresso

ainda há quem diga que não…"
Tef�♊,SrtaMagalhaes_,,1750,1078,"RT @MidiaNINJA: “1964 foi golpe sim”, “Liberdade para Renan da Penha” e “Fora Bolsonaro”, mensagem da @dudabeat no encerramento do seu show…"
vic não vai na smtt,mukelacrashawn,"Manaus, Brazil",679,609,"RT @iniIotrob: os cara do lollapalooza reclamando que o pastel custa 15 e a fatia de pizza 18 

irmão tu pagou praticamente um salário míni…"
���.,FXX0666,Coreia,320,319,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
Branca Azeda ❥,oliveira_alanne,"Rio de Janeiro, Brasil",6139,4670,RT @milaimpact: queria estar no lollapalooza assistindo o post malone cantando congratulations que eu gosto � https://t.co/qCMJrLUcdy
patorishia,guenoira,"Rio de Janeiro, Brasil",174,293,RT @9ctor: Lollapalooza ou aniversário do Guanabara? https://t.co/fsyQ6dTZhO
Bruna,brunahsafawi,"Curitiba, Brasil",1012,1262,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
Manu,fuitombada,spfc,2720,299,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
disapointed but not surprised,aktsukodeuva,,663,1657,"RT @Kendraekauani: O melhor diálogo na porta do Lollapalooza: 

- quanto é a água? 

- 5 conto

- nossa, que caro. me dá um desconto? 

- n…"
monteiro,maiconwmonteiro,Jacareí,525,380,RT @neigwbourhood: sonho ir no lollapalooza e ver o post malone curtindo funk ao som de kevin o chris https://t.co/ZeJWVLyhZ7
BIGODE,Matheus_Martz,021,489,291,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
.,powergalg,,629,1289,"RT @MidiaNINJA: “1964 foi golpe sim”, “Liberdade para Renan da Penha” e “Fora Bolsonaro”, mensagem da @dudabeat no encerramento do seu show…"
cαrσℓ,edznhazard,ˢᵖᵖᶜ ° ʳᵐᶜᶠ ,1366,1432,"RT @reginaldorossi: Atenção: devido ao risco de raios, quem é corno e está no Lollapalooza deve se abrigar em local seguro. Chifres atraem…"
Rodrigo13696,rodrigo13696,Caxias do Sul,159,481,"RT @rrocosta: Protesto no Lollapalooza! Pode isso, Arnaldo?
Pode, não! Deve! https://t.co/m92ux39abJ"
juliana,juhAlves1307,"Rio de Janeiro, Brasil",712,722,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
jujuᶜʳᶠ,Giulianne9,"Duque de Caxias, Brasil",720,717,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
borges_debochadaa �,VDebochadaa,,15,39,"RT @Kendraekauani: O melhor diálogo na porta do Lollapalooza: 

- quanto é a água? 

- 5 conto

- nossa, que caro. me dá um desconto? 

- n…"
laura,crazyisliver,Em algum lugar do �,265,243,"RT @HaddadDebochado: Que falta de respeito com o Presidente ein Lollapalooza? Amei, continua https://t.co/zCoGqGSmQq"
Sem tempo irmão,PrestesKamily,,432,458,"RT @citeievazei: “você atrai aquilo que fala”

ANO QUE VEM QUERIA ESTÁ NO 
LOLLAPALOOZA
ANO QUE VEM QUERIA ESTÁ NO LOLLAPALOOZA
ANO QUE VEM…"
bea BLOCK DE SEGUIR MAS JURO QUE SDV�,taymilaneedy,,1363,1763,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
Biazinha,biazinhavidall,71°�,657,388,RT @guilhxrmesa: será se esses número de sp ligando td dia q nois n atende deve ser alguma empresa convidando a gente pra ir pro lollapaloo…
