name,screen_name,location,followers_count,friends_count,tweet
Renan Hzd,HerzaidRenan,,45,561,"RT @BrunoTSilva_90: #BolsonaroOrgulhodoBrasil #BolsonaroOrgulhaOBrasil 
Finalmente patriotas estão no comando do governo,  n pessoas c inte…"
camira,imcamisss,"Vila Mariana, São Paulo",360,153,RT @microgamesjogos: ultima crítica que vou fazer a esse governo https://t.co/47pxY6Oq3U
Rubinho Divinéia,RubinhoDivi,Brasil-Rio de Janeiro,984,1113,RT @guimaraes13PT: Bolsonaro é um perigo enorme para a paz mundial. O mundo está assustado com tamanha submissão do governo brasileiro aos…
Christina ��,Chris_paiva1,"São Paulo, Brasil",735,160,"@estudioi Diz pro jornalista sério que almoça com promotor antiético, que 'adulto' são vcs. 
Que não respeitam o go… https://t.co/GEAM3y3lq5"
Roger CS,siqueira89,,249,439,RT @manoelmsgontijo: Moro busca acordo p/ troca de informações c/ a CIA e FBI; Pontes busca parceria c/ SpaceX e NASA; o PR Bolsonaro assin…
Bruna,bubsppeixoto,"Niterói, Brasil",632,408,RT @PauloVieiraReal: Bolsonaro acha chique assinar QUALQUER contrato com o governo americano. É o típico Brasileiro médio que queria ter na…
Funchal Notícias,funchalnoticias,"Funchal, Portugal",929,101,Embaixadora da África do Sul esteve hoje no Parlamento e amanhã no Governo https://t.co/ZSZMfE0mVb https://t.co/qnlFVoycEy
Nelson Carvalheira,N_Carvalheira,"Recreio dos Bandeirantes, Rio ",73546,38944,"RT @leandroruschel: Entendo a tentação de garantir a governabilidade, mas não elegemos esse governo para chancelar um modelo político podre…"
la belle de gyn �,yasminlelis,"Brasília, Brasil",131,301,"RT @eduardomoreira: O presidente viaja e o filho, que não é nada no governo, toca sua agenda em Brasilia. E quase ninguém acha isso uma mal…"
FatilCamposjf,fatilcampos,"Juiz de Fora, Brasil",1922,3105,"RT @eduardomoreira: O presidente viaja e o filho, que não é nada no governo, toca sua agenda em Brasilia. E quase ninguém acha isso uma mal…"
eu avisei,revoltadaMelo,Brasil,109,433,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
Lê Silva ���,AlessandraMano5,"Rio de Janeiro, Brasil",5481,4512,"RT @BiggThii: ""O que é CIA?""

Os jornalistas brasileiros tem uma espécie de FETICHE ou TARA por passar VERGONHA!

Porta-voz do Governo Otáv…"
Márcio Doho,MarcioDoho,"São José do Rio Preto, Brasil",59,322,RT @manoelmsgontijo: Moro busca acordo p/ troca de informações c/ a CIA e FBI; Pontes busca parceria c/ SpaceX e NASA; o PR Bolsonaro assin…
Fobserve,Fobserve,,75,46,"@planalto @GeneralMourao Segurança ruim,empregos pior ainda e @jdoriajr segue rodeando.governo federal.Alguém lembr… https://t.co/8T3kSeEk0v"
cesar ferreira ramos,Cesar2045Cesar,"Cachoeira Dourada, Brasil",51,103,RT @caioblinder: Um grande desafio nesta visita de Bolsonaro ao EUA é abraçar com ardor o gigante norte-americano sem dar o cano na tentado…
Governos do Brasil,govbrs,,19,3,Governo do Estado mantém GM em SP e empresa anuncia investimentos https://t.co/Vmm4dbRfGh
Igor Miguel | Teologia Artesanal,igorpensar,"Belo Horizonte - MG, Brazil",5707,1036,"@nozima vc que é da área, o que acha desta quebra de reciprocidade diplomática quanto aos vistos para americanos po… https://t.co/1Lyvr6VW0Y"
Personal-Educação física,taprootband,"São Paulo, Brasil",211,644,"@BlogdoNoblat Quando ameaçam a família desse imbecil do Noblat, acha ruim!! depois reclama! cumulo da falta de cará… https://t.co/8rn0WDKCqY"
Haru,MouraMichele08,Meu quarto ,131,212,RT @brendhabem: os cadernos do governo desse ano são tão lindos que eu quero usar pra algo interessante que não a escola pq já tenho cadern…
Kelvin,kelvinslim,"Rio de Janeiro, Brasil",1055,566,"RT @eduardomoreira: O presidente viaja e o filho, que não é nada no governo, toca sua agenda em Brasilia. E quase ninguém acha isso uma mal…"
"sinceramente, não sei",laurathediamond,,72,217,RT @da_goiabeira: A embaixada brasileira nos EUA vai auxiliar o governo americano a encontrar brasileiros sem documentos e deportá-los ao p…
muuuuuuuuu,newfig1,,280,404,"RT @PolitzOficial: Você gosta de acompanhar e discutir notícias sobre o governo de Jair Bolsonaro?

O #FórumPOLITZ tem um Tópico exclusivo,…"
ToLembrando,ToLembrando,Na nuvem,845,969,"RT @JTabw: Que absurdo, temos que cuidar dos idosos. É função do Governo cobra imposto dos ricos e gerar bem-estar coletivo.

https://t.co/…"
Fabiano Lúcido®️,Canhoto84,"Cidade, Brasil",93,407,RT @guimaraes13PT: O congresso precisa reagir a essa submissão do governo Bolsonaro aos EUA. É vergonhoso para nossa soberania
Capitão Marvel,oGabrielMJ,"Hell's Kitchen, Manhattan",1,35,"O tal patriota orgulhoso que enchia a boca pra dizer ""Brasil acima de tudo"" demonstra total submissão ao governo do… https://t.co/4CvPLG3rF8"
mariana,Marisantiago33_,Bsb,419,277,"RT @dougraz: foda ver o governo do nosso país diminuindo a gente
 foda"
