name,screen_name,location,followers_count,friends_count,tweet
O Paizinho,asaiote,Carregueira,642,1258,"Ai mulher, tens o olho negro.... Quem é que te fez isso? Já lhe pediste desculpa? #FCPorto #vergonhanastrombas"
Maria João Alexandre,MariaJooAlexan2,"Loures, Portugal",25,162,"@Yoko1904 Esta mesma mulher agrediu a @JoanaAlexandre1 quando esta tinha apenas  12 anos, não estou a dizer que ist… https://t.co/PztGRiB4ID"
TOME NA PPK �,hsxttia,"Palmas, Brasil",258,406,RT @manuellacf: se vc nunca ouviu da vó ou da mãe “homem não gosta de mulher assim” vc é 3x privilegiada
���� ���������,viviszampieri,Rio de Janeiro,472,545,"Atenção Mulheres ciclistas, tem coisa boa vindo por aí! Mulher Audaz: Se é ciclista amadora, ou tímida admiradora o… https://t.co/vYtfcTGWQT"
isabella com 2L,isaathuany,"São Paulo, Brasil",142,76,RT @manugavassi: Agradecer sempre pela força que venho construindo nos últimos anos como pessoa e mais do que tudo: como mulher. Só a gente…
Intercessors Mike Murdock,DrMMintercessor,,438,16,"RT @PsFrancisFais: Uma Boa Mulher... Ouve.
Uma Mulher Inteligente...Responde.
Uma Grande Mulher... Prevê.

@drmikemurdock 
#drMM
#fb https:…"
Mulher Imprensa Free,Mulher_Noticia,"Curitiba, Brasil",4118,2674,RT @gavetadcalcinha: RT @tudoquecabeaqui: Começar a semana escutando #MulheresPodcasters e sendo parte do Baseado em Fatos Surreais? Apoie…
Moony,LuaN0va,Céu,1045,259,"RT @lolaescreva: O horror da lesbofobia: em Angra dos Reis, homem assedia uma lésbica. No dia seguinte, ele a mata, e mata tb a namorada de…"
#Cloakcoin,Carlossz811,"Porto, Portugal",568,1072,"@AnaGomesMEP @RuiPinto_FL Está mesmo muito borradinha, para de um caso de agressão a uma mulher pelos dragões vir m… https://t.co/lUiMi4MBWU"
eu,iviisn,,239,315,RT @kribshna: A mulher já acorda pensando nos grandes desafios que enfrentará no dia (resistir à sonequinha da tarde quando voltar da aula)
bia,_biantriz,manaux,98,96,"@xyzdxx mia mulher eh linda, sou mt apaixonada ��"
Bruna,bsaldanha_,,154,117,RT @emillycff: quando vocês pensarem em falar que a culpa é da mulher que se omitiu lembrem desse e de mais inúmeros casos onde a justiça f…
Thaixx,Thais_Moller04,Na merda,212,232,RT @GospelYang: o esmurro de beleza que essa mulher deu durante todas as 15 temporadas https://t.co/olOjkIaDqX
masha,marianoites,rj | aries | #mariellepresente,737,315,cade essa mulher
Mulher Imprensa Free,Mulher_Noticia,"Curitiba, Brasil",4118,2674,"RT @gavetadcalcinha: RT @tudoquecabeaqui: Alô amantes de podcast: trabalhos acadêmicos sobre o assunto no Brasil, conhecem? fizeram? indica…"
manu,manurodriigs,BSB,246,316,RT @luana_andrads: tem dia que a mulher só precisa de um carinho
Aninha,analuciadossant,Palmas - Tocantins,1470,1124,@RenataMaccor Mulher seja amanhã ou em outro paredão a Paula vai sair de lá direto p delegacia. Agora vamos proteger a peixinho.
C22�,CH__Lorenzo,,1051,2109,RT @RyanHenriqueTo1: O menino que tu considerava teu amigo tá pegando tua ex né cria? Kkkkkk — Fazer oq né quando se trata de mulher ningué…
Técnico em Emoção,virtu_20,"Belo Horizonte, Brasil",72,231,"Tava na rua de boas,aí vejo um menorzinho com a vó do lado olhando pra mim com a mão fechada e cara de bravo,virei… https://t.co/xzFpnaibTM"
Lariiiiii,Larissa25147940,Brasil,13,19,"RT @gustavoheenrry: - Vc é mulher ?
- Sim, pq?
- Então fala ""você é feio""
- Somos amigos 

KKKKKKKKKKKKKKKKK RT AÍ"
�����_��,zaccazacca,"Gravataí, Brasil",225,248,pq q eu acho guria lesbica tão linda? sera q eu deveria ser mulher?
Bea,_beaagomes,"Grajaú, Extremo Sul",151,260,"RT @Oafrontobb: Mulher quando acorda p vida, ela não dorme mais!!!!!! �"
Will Wolff,WillWolff_am,Manaus - AM,69,143,"Um governo onde as mulheres são desprezadas não pode ajuda-las.
Cadê a Lei Maria da Penha? A Lei que não prende mil… https://t.co/0D84eamKX4"
Preferida da Desa,ScholzGoomes,,941,530,"RT @nkultra: Voces namorariam com vcs mesmos?
Eu com certeza pois sou a mulher dos meus sonhos gostosa inteligente e engraçada MAS nao dura…"
izabela,izzzbela,,340,230,tem uma mulher aq que deve estar perto dos 40 e eh simplesmente uma criança do caraio eu tenho vontade de surta com… https://t.co/MyvVn5yeK3
Laryssa F. ��‍♀️,Crf_Lary,,626,343,"RT @Oafrontobb: Mulher quando acorda p vida, ela não dorme mais!!!!!! �"
Beladona,Beladiona,"Curitiba, Brasil",2338,2235,"RT @mjcosta_: O Brasil está finalmente valorizando as pessoas certas, um presidente honrado e um verdadeiro filósofo. Cansamos de todos os…"
eloana,elorapoza,"Goioerê, Brasil",126,85,RT @merafeelings: não é legal expor isso na internet mas eu namoro a mulher da primeira foto e as outras eu já peguei todas bjuss�� https:/…
Ruhanna,Lully93Ruana,"Odivelas, Portugal",984,283,"RT @fulan0deX: Ignorar uma mulher é lhe ensinar a viver sem ti, quando você pensa que ela está a sofrer na verdade ela está a se ajustar."
let loves lily collins,rdjrcollins,cassieclare comics books films,4410,597,"lily collins na after party do oscar 2017 estava incrivelmente linda e radiante, admirem essa mulher https://t.co/NmeMPGOTsU"
Claudia Millena..�❤,Miller_C3,Cidade Alta ��❤,166,342,RT @RyanHenriqueTo1: O menino que tu considerava teu amigo tá pegando tua ex né cria? Kkkkkk — Fazer oq né quando se trata de mulher ningué…
Pele Rubro-Negra,csampaio_pele,Brasil,16225,16046,Que façamos isto pelo menos neste mês de março. A falta de reação dará à Globo uma sensação de impunidade. Flamengo… https://t.co/13pZxCRJyX
�riel,CHARV92,França,20,31,As vezes esqueço que ainda existem pessoas com a mente tão pequena em pleno século 21 e que não me consideram mulhe… https://t.co/t90ntpvkTJ
Thamires ��,TamiresLeandroo,"Rio de Janeiro, Brasil",39,416,"RT @Hevelyn240700: Eu fui sabia e fiel, fui mulher pra levanta, e por mim ele é capaz de morrer e de matar"
pam&la,undersadd,"São Paulo, Brasil",561,433,RT @Opressao_Spfc: Essa mulher representa toda a torcida do São Paulo nesse momento � https://t.co/nfRpJ14x3s
Silky Nutmeg Ganache,TorresmoV_,"Vitória, Brasil",2594,412,RT @youthdamn: gay culture é conhecer essa mulher https://t.co/b6PhQtlGQ4
Caiçara �,tipo_alua21,de outro planeta,1674,836,"RT @gabirippiofc: O ruim de ser meu ex, é que toda vez que você me olhar vai dizer ""não sei como deixei  essa mulher incrível e maravilhosa…"
Ângela Dias �➕,angelaregg,Brasil,20,208,"11- (6) Gilmar por três vezes livrou do cárcere Jacob Barata Filho, milionário do setor de transportes do Rio de Ja… https://t.co/GwdXQRts4N"
Ginecologista Sete Lagoas,ABuetner,"Sete Lagoas, Brasil",89,236,MASTOLOGISTA em Sete Lagoas Tratamento do câncer de mama mamografia preventiva exames https://t.co/NDcrvcK5iC Ginec… https://t.co/UsRuhZCmj1
raiodasilibrina,poplim,"Recife, Brasil",340,349,RT @mtesperon: caralho a mulher é o Taz Mania https://t.co/51qcE2uB5z
manu,mnmclm,,182,283,Admiro a mulher guerreira que sou pq to morrendo de dor mas não vou tomar o remédio pq me deixa com sono e hoje eu… https://t.co/UJ6cPgV0bs
BN Municípios,BNMunicipios,,212,66,Porto Seguro: Mulher morre ao se desequilibrar em rua e ser atropelada por caminhão de lixo https://t.co/fzmFipXAJp https://t.co/XBzPCStFD5
Isabela,IsabelaM_,"Vila Velha, Brasil",1103,158,RT @erickimkardash: eu olhando pra mulher do caixa qnd ela vira minha nota contra luz pra ver se é falsa ou n https://t.co/xYm2uMohBW
Paulo Teixeira,pjateixeira,@Porto,46,132,"#PortugalMelhor para a #FamiliaSocialista

Pedro Nuno Santos sai em defesa da profissional que também é sua mulher https://t.co/F6EE0MaxIm"
Vicente Estevam ��,jrvicenteTN,Natal/RN,2272,1841,"@Karlmarxbr_Br @STF_oficial O que essa mulher fala não se escreve, afinal fazendo campanha para Serra, ela disse qu… https://t.co/9jD16Rwldh"
Bahia Notícias,BahiaNoticias,"Salvador, Brasil",280881,144,Porto Seguro: Mulher morre ao se desequilibrar em rua e ser atropelada por caminhão de lixo https://t.co/fdjI8TzfTN https://t.co/xijM3C0ygF
#cafecomjornal,cafejornal,,89746,159,"No Rio Grande do Sul, uma mulher escapou por muito pouco de ser atropelada. #BandJornalismo https://t.co/ynZkIZYN22"
