name,screen_name,location,followers_count,friends_count,tweet
Pedro Moraes,pppmoraes76,"Rio de Janeiro, Brasil",1883,1762,"RT @FoxSportsBrasil: Governo do Rio de Janeiro rompe contrato de concessão do Maracanã; veja

 � https://t.co/wHUiGr2211

Clique e assine o…"
Filipe Quintans,ofilipequintans,"São Paulo, Brasil",857,503,Votou em Wilson Witzel? Me aponte 1 ação concreta do governo dele em 77 dias. Uma ação que tenha melhorado a vida d… https://t.co/6uUwRtPTDe
c,cibelycard,,1047,351,"RT @JenioQuadros: Esse governo fez o Silas Malafaia dar uma opinião sensata e moderada 

Que momento difícil passamos https://t.co/BS0R9Hhp…"
Brenno Santos,BrennoS_MJV,"Salvador, Brasil",42,209,"RT @paixaofla9: GOVERNO DO RIO ROMPE COM CONCESSIONÁRIA DO MARACANÃ ������
AGORA VAMOS BRIGAR PARA QUE FIQUE COM O FLAMENGO!!!"
Ana Lucia Bitencourt,bitenvida,,540,701,RT @JoelAlexandreM: A Globo criou um quadro no #Fantástico apenas para atacar o Bolsonaro? Porque é isso que eles fazem em todos os program…
deus meu deus tudo esta tao dificil pra mim,miIkygum,"itz, brasil",533,306,"RT @JenioQuadros: Esse governo fez o Silas Malafaia dar uma opinião sensata e moderada 

Que momento difícil passamos https://t.co/BS0R9Hhp…"
Edilene Soares ��,Edilenesoaresg2,,197,47,"RT @maryritalopes: A grobo pode boicotar o governo, estamos ligados 24 horas por dia para promovê_lo .

#GloboEsgotoDaTv"
FLAMENGUISTA SINCERO �⚫,FlaSinceroOFC,Ninho do urubu,22363,748,"Governo Estadual anuncia rompimento c Consórcio Maracanã. Governador Wilson Witzel ""O Maracanã tem renda. Vai ser a… https://t.co/wWWm3osagM"
Miranda Herculino,mirandaherculi1,"Ribeirão Preto, Brasil",27,214,"RT @PastorMalafaia: O FILHO DO PRESIDENTE, Eduardo Bolsonaro, ajudaria muito mais ao governo do seu pai, parando de falar asneira. Poderia…"
Lusia Nascimento,NascimentoLusia,"Rio de Janeiro, Brasil",34,339,RT @igorsiqueira: E o governo do Rio decidiu romper o contrato atual de concessão do Maracanã. Contrato entre os clubes e a concessionária…
antonio marcos,simoes_marcos1,,55,54,Bolsonaro vai priorizar a busca por acordos comerciais com os EUA https://t.co/ObkhFrDNxi
